replay_id,channel,rank,windows_used,responsive_threshold,flow_ip_src,flow_ip_dst,flow_udp_sport,flow_udp_dport,frame_len,offset,width,encoding,delta_view,score,sine_cycles,responsiveness,affine_scale,affine_offset
16_z,z,1,3,10999.856222437114,192.168.1.6,192.168.1.14,52428,60376,152,46,2,int16_le,False,0.13263660586458942,1.0,5645.704261522781,-6.359483335178743e-07,0.00047725849784909874
16_z,z,2,3,10999.856222437114,192.168.1.6,192.168.1.14,52428,60376,152,46,2,int16_be,False,0.12056170786699018,3.0,5645.704261522781,4.3732093199526575e-06,-0.0005072018968201532
16_z,z,3,3,10999.856222437114,192.168.1.6,192.168.1.14,52428,60376,152,46,4,int32_be,False,0.12056157955690917,3.0,2822.8521307613905,6.672968965453721e-11,-0.0005096362567041469
16_z,z,4,3,10999.856222437114,192.168.1.6,192.168.1.14,52428,60376,152,46,4,uint32_be,False,0.10077316533714993,2.0,2822.8521307613905,-4.961239071316199e-11,0.10776761782622502
16_z,z,5,3,10999.856222437114,192.168.1.6,192.168.1.14,52428,60376,152,46,2,uint16_be,False,0.10077253289792404,2.0,5645.704261522781,-3.2513803641675468e-06,0.10776523432918157
16_z,z,6,3,10999.856222437114,192.168.1.6,192.168.1.14,52428,60376,152,46,2,uint16_le,False,0.09962045490759107,1.0,5645.704261522781,1.7835728052119197e-06,-0.05690223342227597
16_z,z,7,3,10999.856222437114,192.168.1.6,192.168.1.14,52428,60376,152,46,4,int32_le,True,0.09517858755401493,2.0,2822.8521307613905,-1.659080457414174e-12,-0.0003027757968013773
16_z,z,8,3,10999.856222437114,192.168.1.6,192.168.1.14,52428,60376,152,46,4,uint32_le,True,0.09484887154119685,2.0,2822.8521307613905,1.6416658810908522e-12,-0.0003024188319251804
16_z,z,9,3,10999.856222437114,192.168.1.6,192.168.1.14,52428,60376,152,46,2,uint16_be,True,0.09251409096865815,3.0,5645.704261522781,-6.650612623464281e-09,-0.00042836053823529186
16_z,z,10,3,10999.856222437114,192.168.1.6,192.168.1.14,52428,60376,152,46,4,uint32_be,True,0.09251405006935502,3.0,2822.8521307613905,-1.0147773154895689e-13,-0.0004283605243122902
16_z,z,11,3,10999.856222437114,192.168.1.6,192.168.1.14,52428,60376,152,46,4,int32_be,True,0.0913489056269459,3.0,2822.8521307613905,4.4082233036514587e-13,-0.00043061382659913603
16_z,z,12,3,10999.856222437114,192.168.1.6,192.168.1.14,52428,60376,152,46,2,int16_be,True,0.09134884572539027,3.0,5645.704261522781,2.888959693385627e-08,-0.00043061377044172674
16_z,z,13,3,10999.856222437114,192.168.1.6,192.168.1.14,52428,60376,152,46,2,int16_le,True,0.08653459644612006,3.0,5645.704261522781,7.729572804895334e-09,-0.0004287656667690869
16_z,z,14,3,10999.856222437114,192.168.1.6,192.168.1.14,52428,60376,152,46,2,uint16_le,True,0.08318171726878157,3.0,5645.704261522781,9.166499008148551e-10,-0.00042818825161209734
16_z,z,15,3,10999.856222437114,192.168.1.6,192.168.1.14,52428,60376,152,46,4,float32_le,True,0.04195583734570274,3.0,2822.8521307613905,-0.018339906076111467,-0.000445294180469461
16_z,z,16,3,10999.856222437114,192.168.1.6,192.168.1.14,52428,60376,152,46,4,int32_le,False,0.01678497000182747,3.0,2822.8521307613905,4.7984060702855646e-12,0.000885639734901406
16_z,z,17,3,10999.856222437114,192.168.1.6,192.168.1.14,52428,60376,152,46,4,uint32_le,False,0.016723295683044783,3.0,2822.8521307613905,-4.68835885212711e-12,0.010659449468923617
16_z,z,18,3,10999.856222437114,192.168.1.6,192.168.1.14,52428,60376,152,46,4,float32_le,False,0.010071588377058438,2.0,2822.8521307613905,-0.0047506854221477995,-0.0003897474056048421
16_i,i,1,3,11760.131778970263,192.168.1.6,192.168.1.14,52428,60376,152,51,4,uint32_le,False,0.12820558000965807,2.0,3210.38280495214,9.807745646244323e-13,-0.002104204790546583
